2022-02-02/21:07:38		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:38		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:38		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:38		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:38		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:38		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:38		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:39		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:39		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:39		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:39		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:39		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:39		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:39		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:39		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:39		 wafer_13012020_090817.csv: File loaded successfully!!
2022-02-02/21:07:40		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:40		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:40		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:40		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:40		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:40		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:40		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:41		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:41		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:41		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:41		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:41		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:41		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:42		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:42		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:42		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:42		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:43		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:43		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:43		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:43		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:43		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:44		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:44		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:44		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:44		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:44		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:45		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:45		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:45		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:45		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:45		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:46		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:46		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:46		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:46		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:47		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:47		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:47		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:48		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:48		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:48		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:48		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:49		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:50		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:50		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:50		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:50		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:50		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:50		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:50		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:50		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:51		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:51		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:51		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:51		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:51		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:51		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:51		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:51		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:51		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:52		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:52		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:52		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:52		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:52		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:52		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:52		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:52		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:52		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:53		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:53		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:53		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:53		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:53		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:53		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:53		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:53		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:53		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:54		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:54		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:54		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:54		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:54		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:54		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:54		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:55		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:55		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:55		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:55		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:55		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:55		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:55		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:55		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:56		 wafer_16012020_051629.csv: File loaded successfully!!
2022-02-02/21:07:56		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:07:56		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:07:56		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:07:56		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:07:56		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:07:56		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:07:56		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:07:56		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:07:57		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:07:57		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:07:57		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:07:57		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:07:57		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:07:57		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:07:57		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:07:57		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:07:58		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:07:58		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:07:58		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:07:58		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:07:58		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:07:58		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:07:58		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:07:58		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:07:59		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:07:59		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:07:59		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:07:59		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:07:59		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:07:59		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:07:59		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:07:59		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:08:00		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:08:00		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:08:00		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:08:00		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:08:00		 wafer_20022020_090716.csv: File loaded successfully!!
2022-02-02/21:08:00		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:00		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:00		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:00		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:01		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:01		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:01		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:01		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:01		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:01		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:01		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:01		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:01		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:01		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:02		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:02		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:02		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:02		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:02		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:02		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:02		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:02		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:02		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:03		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:03		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:03		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:03		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:03		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:03		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:03		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:03		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:04		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:04		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:04		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:04		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:04		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:04		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:04		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:04		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:05		 wafer_21012020_080913.csv: File loaded successfully!!
